Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
378,ATVW,CR-10540,0,10540
379,ATVW,CR-10540,0,10540
380,ATVW,CR-10596,0,10596
381,ATVW,CR-10596,0,10596
382,MKTG,CR-10031,0,10031
383,MKTG,CR-10031,0,10031
384,AXLE,CR-10008,0,10008
385,AXLE,CR-10008,0,10008
386,SRCW,CR-10225,0,10225
387,SRCW,CR-10225,0,10225
388,THUB,CR-10860,0,10860
389,THUB,CR-10860,0,10860
390,ATVW,CR-10919,0,10919
391,ATVW,CR-10919,0,10919
392,TMTG,CR-10032,0,10032
393,TMTG,CR-10032,0,10032
394,SRCW,CR-10318,0,10318
395,SRCW,CR-10318,0,10318
396,TFAB,CR-10506,0,10506
397,TFAB,CR-10506,0,10506
398,AXLE,CR-10669,0,10669
399,AXLE,CR-10669,0,10669
400,SRCW,CR-10826,0,10826
401,SRCW,CR-10826,0,10826
402,AXLE,CR-10355,0,10355
403,AXLE,CR-10355,0,10355
404,ATVW,CR-10597,0,10597
405,ATVW,CR-10597,0,10597
406,ATVW,CR-10710,0,10710
407,ATVW,CR-10710,0,10710
408,ATVW,CR-10955,0,10955
409,ATVW,CR-10955,0,10955
410,MKTG,CR-10032,0,10032
411,MKTG,CR-10032,0,10032
412,THUB,CR-10091,0,10091
413,THUB,CR-10091,0,10091
414,SRCW,CR-10226,0,10226
415,SRCW,CR-10226,0,10226
416,ACCE,CR-10558,0,10558
417,ACCE,CR-10558,0,10558
418,TMTG,CR-10630,0,10630
419,TMTG,CR-10630,0,10630
420,THUB,CR-10861,0,10861
421,THUB,CR-10861,0,10861
422,AXLE,CR-10827,0,10827
423,AXLE,CR-10827,0,10827
424,AXLE,CR-10356,0,10356
425,AXLE,CR-10356,0,10356
426,ACCE,CR-10650,0,10650
427,ACCE,CR-10650,0,10650
428,ACCE,CR-10711,0,10711
429,ACCE,CR-10711,0,10711
430,SMWN,CR-10009,0,10009
431,SMWN,CR-10009,0,10009
432,SRCW,CR-10227,0,10227
433,SRCW,CR-10227,0,10227
434,AFAB,CR-10920,0,10920
435,AFAB,CR-10920,0,10920
436,SRCW,CR-10397,0,10397
437,SRCW,CR-10397,0,10397
438,SRCW,CR-10670,0,10670
439,SRCW,CR-10670,0,10670
440,AXLE,CR-10828,0,10828
441,AXLE,CR-10828,0,10828
442,TMTG,CR-10182,0,10182
443,TMTG,CR-10182,0,10182
444,AFAB,CR-10234,0,10234
445,AFAB,CR-10234,0,10234
446,AXLE,CR-10357,0,10357
447,AXLE,CR-10357,0,10357
448,ATVW,CR-10598,0,10598
449,ATVW,CR-10598,0,10598
450,AFAB,CR-10712,0,10712
451,AFAB,CR-10712,0,10712
452,CHUB,CR-10010,0,10010
453,CHUB,CR-10010,0,10010
454,CHUB,PC-10010,0,10010
455,CHUB,PC-10010,0,10010
456,THUB,CR-10092,0,10092
457,THUB,CR-10092,0,10092
458,SRCW,CR-10228,0,10228
459,SRCW,CR-10228,0,10228
460,ACCE,CR-10696,0,10696
461,ACCE,CR-10696,0,10696
462,AFAB,CR-10584,0,10584
463,AFAB,CR-10584,0,10584
464,AFAB,CR-10235,0,10235
465,AFAB,CR-10235,0,10235
466,AXLE,CR-10358,0,10358
467,AXLE,CR-10358,0,10358
468,ATVW,CR-10599,0,10599
469,ATVW,CR-10599,0,10599
470,SRCW,CR-10229,0,10229
471,SRCW,CR-10229,0,10229
472,TFAB,CR-10631,0,10631
473,TFAB,CR-10631,0,10631
474,TMTG,CR-10585,0,10585
475,TMTG,CR-10585,0,10585
476,SRCW,CR-10671,0,10671
477,SRCW,CR-10671,0,10671
478,SMWN,CR-10884,0,10884
479,SMWN,CR-10884,0,10884
480,AXLE,CR-10359,0,10359
481,AXLE,CR-10359,0,10359
482,TFAB,CR-10651,0,10651
483,TFAB,CR-10651,0,10651
484,SRCW,CR-10230,0,10230
485,SRCW,CR-10230,0,10230
486,ACCE,CR-10697,0,10697
487,ACCE,CR-10697,0,10697
488,SRCW,CR-10793,0,10793
489,SRCW,CR-10793,0,10793
490,SRCW,CR-10672,0,10672
491,SRCW,CR-10672,0,10672
492,AXLE,CR-10360,0,10360
493,AXLE,CR-10360,0,10360
494,AFAB,CR-10995,0,10995
495,AFAB,CR-10995,0,10995
496,SRCW,CR-10033,0,10033
497,SRCW,CR-10033,0,10033
498,TFAB,CR-10183,0,10183
499,TFAB,CR-10183,0,10183
500,SRCW,CR-10231,0,10231
501,SRCW,CR-10231,0,10231
502,SRCW,CR-10382,0,10382
503,SRCW,CR-10382,0,10382
504,TFAB,CR-10862,0,10862
505,TFAB,CR-10862,0,10862
506,SRCW,CR-10673,0,10673
507,SRCW,CR-10673,0,10673
508,SMWN,CR-10885,0,10885
509,SMWN,CR-10885,0,10885
510,AXLE,CR-10361,0,10361
511,AXLE,CR-10361,0,10361
512,TFAB,CR-10600,0,10600
513,TFAB,CR-10600,0,10600
514,SRCW,CR-10232,0,10232
515,SRCW,CR-10232,0,10232
516,THUB,CR-10383,0,10383
517,THUB,CR-10383,0,10383
518,TFAB,CR-10863,0,10863
519,TFAB,CR-10863,0,10863
520,TFAB,CR-10398,0,10398
521,TFAB,CR-10398,0,10398
522,AXLE,CR-10507,0,10507
523,AXLE,CR-10507,0,10507
524,SRCW,CR-10674,0,10674
525,SRCW,CR-10674,0,10674
526,AFAB,CR-10886,0,10886
527,AFAB,CR-10886,0,10886
528,AXLE,CR-10362,0,10362
529,AXLE,CR-10362,0,10362
530,TFAB,CR-10601,0,10601
531,TFAB,CR-10601,0,10601
532,SRCW,CR-10034,0,10034
533,SRCW,CR-10034,0,10034
534,THUB,CR-10108,0,10108
535,THUB,CR-10108,0,10108
536,CHUB,CR-10011,0,10011
537,CHUB,CR-10011,0,10011
538,CHUB,PC-10011,0,10011
539,CHUB,PC-10011,0,10011
540,TMTG,CR-10184,0,10184
541,TMTG,CR-10184,0,10184
542,SRCW,CR-10384,0,10384
543,SRCW,CR-10384,0,10384
544,TMTG,CR-10632,0,10632
545,TMTG,CR-10632,0,10632
546,TMTG,CR-10204,0,10204
547,TMTG,CR-10204,0,10204
548,SRCW,CR-10675,0,10675
549,SRCW,CR-10675,0,10675
550,TMTG,CR-10829,0,10829
551,TMTG,CR-10829,0,10829
552,SMWN,CR-10887,0,10887
553,SMWN,CR-10887,0,10887
554,SRCW,CR-10021,0,10021
555,SRCW,CR-10021,0,10021
556,AXLE,CR-10363,0,10363
557,AXLE,CR-10363,0,10363
558,SRCW,CR-10652,0,10652
559,SRCW,CR-10652,0,10652
560,SRCW,CR-10035,0,10035
561,SRCW,CR-10035,0,10035
562,SRCW,CR-10305,0,10305
563,SRCW,CR-10305,0,10305
564,THUB,CR-10385,0,10385
565,THUB,CR-10385,0,10385
566,ACCE,CR-10698,0,10698
567,ACCE,CR-10698,0,10698
568,ACCE,CR-10033,0,10033
569,ACCE,CR-10033,0,10033
570,TMTG,CR-10205,0,10205
571,TMTG,CR-10205,0,10205
572,AXLE,CR-10508,0,10508
573,AXLE,CR-10508,0,10508
574,SMWN,CR-10888,0,10888
575,SMWN,CR-10888,0,10888
576,AXLE,CR-10364,0,10364
577,AXLE,CR-10364,0,10364
578,AFAB,CR-10541,0,10541
579,AFAB,CR-10541,0,10541
580,SRCW,CR-10306,0,10306
581,SRCW,CR-10306,0,10306
582,THUB,CR-10386,0,10386
583,THUB,CR-10386,0,10386
584,TFAB,CR-10633,0,10633
585,TFAB,CR-10633,0,10633
586,TFAB,CR-10864,0,10864
587,TFAB,CR-10864,0,10864
588,SRCW,CR-10080,0,10080
589,SRCW,CR-10080,0,10080
590,TMTG,CR-10206,0,10206
591,TMTG,CR-10206,0,10206
592,SRCW,CR-10319,0,10319
593,SRCW,CR-10319,0,10319
594,TFAB,CR-10399,0,10399
595,TFAB,CR-10399,0,10399
596,AXLE,CR-10509,0,10509
597,AXLE,CR-10509,0,10509
598,SRCW,CR-10676,0,10676
599,SRCW,CR-10676,0,10676
600,AXLE,CR-10365,0,10365
601,AXLE,CR-10365,0,10365
602,AFAB,CR-10713,0,10713
603,AFAB,CR-10713,0,10713
604,SRCW,CR-10036,0,10036
605,SRCW,CR-10036,0,10036
606,TFAB,CR-10865,0,10865
607,TFAB,CR-10865,0,10865
608,SRCW,CR-10081,0,10081
609,SRCW,CR-10081,0,10081
610,TMTG,CR-10207,0,10207
611,TMTG,CR-10207,0,10207
612,SRCW,CR-10677,0,10677
613,SRCW,CR-10677,0,10677
614,AFAB,CR-10281,0,10281
615,AFAB,CR-10281,0,10281
616,AXLE,CR-10366,0,10366
617,AXLE,CR-10366,0,10366
618,AFAB,CR-10714,0,10714
619,AFAB,CR-10714,0,10714
620,SRCW,CR-10037,0,10037
621,SRCW,CR-10037,0,10037
622,SRCW,CR-10093,0,10093
623,SRCW,CR-10093,0,10093
624,SRCW,CR-10387,0,10387
625,SRCW,CR-10387,0,10387
626,TFAB,CR-10634,0,10634
627,TFAB,CR-10634,0,10634
628,SRCW,CR-10082,0,10082
629,SRCW,CR-10082,0,10082
630,TMTG,CR-10208,0,10208
631,TMTG,CR-10208,0,10208
632,AXLE,CR-10510,0,10510
633,AXLE,CR-10510,0,10510
634,AXLE,CR-10889,0,10889
635,AXLE,CR-10889,0,10889
636,SRCW,CR-10022,0,10022
637,SRCW,CR-10022,0,10022
638,AXLE,CR-10367,0,10367
639,AXLE,CR-10367,0,10367
640,AFAB,CR-10715,0,10715
641,AFAB,CR-10715,0,10715
642,TFAB,CR-10996,0,10996
643,TFAB,CR-10996,0,10996
644,SRCW,CR-10038,0,10038
645,SRCW,CR-10038,0,10038
646,NISS,PC-10491,0,10491
647,NISS,PC-10491,0,10491
648,SRCW,CR-10094,0,10094
649,SRCW,CR-10094,0,10094
650,SRCW,CR-10307,0,10307
651,SRCW,CR-10307,0,10307
652,SRCW,CR-10388,0,10388
653,SRCW,CR-10388,0,10388
654,TFAB,CR-10866,0,10866
655,TFAB,CR-10866,0,10866
656,SRCW,CR-10083,0,10083
657,SRCW,CR-10083,0,10083
658,SRCW,CR-10255,0,10255
659,SRCW,CR-10255,0,10255
660,AXLE,CR-10511,0,10511
661,AXLE,CR-10511,0,10511
662,AXLE,CR-10890,0,10890
663,AXLE,CR-10890,0,10890
664,SRCW,CR-10023,0,10023
665,SRCW,CR-10023,0,10023
666,SRCW,CR-10236,0,10236
667,SRCW,CR-10236,0,10236
668,AXLE,CR-10368,0,10368
669,AXLE,CR-10368,0,10368
670,SRCW,CR-10039,0,10039
671,SRCW,CR-10039,0,10039
672,SRCW,CR-10233,0,10233
673,SRCW,CR-10233,0,10233
674,SRCW,CR-10389,0,10389
675,SRCW,CR-10389,0,10389
676,SRCW,CR-10794,0,10794
677,SRCW,CR-10794,0,10794
678,TFAB,CR-10867,0,10867
679,TFAB,CR-10867,0,10867
680,SRCW,CR-10084,0,10084
681,SRCW,CR-10084,0,10084
682,SRCW,CR-10209,0,10209
683,SRCW,CR-10209,0,10209
684,TFAB,CR-10400,0,10400
685,TFAB,CR-10400,0,10400
686,SRCW,CR-10024,0,10024
687,SRCW,CR-10024,0,10024
688,AXLE,CR-10369,0,10369
689,AXLE,CR-10369,0,10369
690,SRCW,CR-10653,0,10653
691,SRCW,CR-10653,0,10653
692,AFAB,CR-10716,0,10716
693,AFAB,CR-10716,0,10716
694,SRCW,CR-10095,0,10095
695,SRCW,CR-10095,0,10095
696,TFAB,CR-10185,0,10185
697,TFAB,CR-10185,0,10185
698,SRCW,CR-10390,0,10390
699,SRCW,CR-10390,0,10390
